movie,budge,gross,comment_count,view_count,like_count,year
Tulip Fever,25000000,6792768,1154,3782915,30629,2017
Ballerina,30000000,96892829,3166,6123045,38285,2017
All Saints,2000000,5941994,83,301130,609,2017
Polina danser sa vie,4000000,953314,4,70717,186,2017
Birth of the Dragon,31000000,7220490,1639,2674412,12023,2017
The Hitmans Bodyguard,30000000,172778667,4320,12188740,84369,2017
Logan Lucky,29000000,44264271,2173,10938801,28104,2017
Patti Cake$,1000000,1471090,719,5955884,5459,2017
The Nut Job 2: Nutty by Nature,40000000,57438389,1002,3427996,14753,2017
Annabelle: Creation,15000000,305384865,6345,18253759,68855,2017
Columbus,700000,1110511,442,906979,5847,2017
Kidnap,21000000,34836080,3662,1361514,29805,2017
The Dark Tower,60000000,113461527,19314,27107928,128695,2017
The Emoji Movie,50000000,216564840,33991,16661692,37791,2017
Atomic Blonde,30000000,98345423,785,1360322,5380,2017
An Inconvenient Sequel,1000000,5839322,3581,2873718,16421,2017
Dunkirk,150000000,499837368,6737,9312206,82802,2017
Girls Trip,28000000,140886353,994,5803435,13878,2017
Valerian and the City of a Thousand Planets,180000000,215098356,6282,8727865,51295,2017
Wish Upon,12000000,23477345,1490,3038311,14390,2017
War for the Planet of the Apes,152000000,489592267,2375,5867104,31525,2017
A Ghost Story,100000,2769782,278,716046,1957,2017
Spider-Man: Homecoming,175000000,880166350,2587,9174481,41111,2017
Despicable Me 3,75000000,1034727750,12432,36380728,118369,2017
The House,40000000,31192425,241,3811678,3203,2017
Baby Driver,34000000,228104185,364,2258940,7122,2017
The Big Sick,5000000,53972860,1103,4065222,16175,2017
Transformers: The Last Knight,217000000,602893340,29663,19452987,125533,2017
Arrowhead,180000,0,106,1048894,430,2017
Cars 3,175000000,383541369,13368,22444963,141448,2017
Rough Night,20000000,46844357,4390,5558490,25600,2017
All Eyez on Me,45000000,54876855,3297,3750603,30213,2017
The Mummy,195000000,409953905,23835,47732876,260295,2017
The Mummy,80000000,416385488,23835,47732876,260295,2017
It Comes at Night,5000000,19720203,3471,15002285,24982,2017
Churchill,10000000,7582196,2225,1498543,6134,2017
Captain Underpants: The First Epic Movie,38000000,126577874,18060,12350616,182617,2017
Wonder Woman,150000000,821133378,26274,27362036,231645,2017
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,788241137,1904,6167691,25192,2017
Baywatch,60000000,175863783,3589,15154650,50683,2017
"Everything, Everything",10000000,61603136,6267,8815854,103890,2017
Alien: Covenant,97000000,238521247,18500,25421970,154700,2017
Diary of a Wimpy Kid: The Long Haul,22000000,35609577,8194,2065425,5474,2017
Snatched,42000000,57852177,1055,4822706,4855,2017
King Arthur: Legend of the Sword,175000000,139630336,3325,9088513,30460,2017
The Wall,3000000,4495262,3684,9580458,33582,2017
Lowriders,916000,6188421,1209,1650194,9392,2017
Chi dn zhunji,23000000,58807172,16849,152354293,326440,2017
Guardians of the Galaxy Vol 2,200000000,862316233,3886,8544698,67633,2017
Baahubali 2: The Conclusion,30000000,263502914,28306,106764363,610205,2017
The Circle,18000000,40651864,4010,7685350,40586,2017
Jy dsh,20000000,43888531,1,7897,20,2017
How to Be a Latin Lover,10000000,62556228,750,3039847,10928,2017
Sleight,250000,3934450,1454,3154694,19393,2017
Unforgettable,12000000,16221211,380,2211401,7133,2017
Unforgettable,18000000,2483790,380,2211401,7133,2017
The Promise,90000000,10551417,0,3079913,0,2017
The Fate of the Furious,250000000,1234846267,19831,18913058,151414,2017
The Lost City of Z,30000000,17121823,1357,6031996,14531,2017
Queen of the Desert,36000000,1578543,675,818439,4731,2017
Going in Style,24000000,78672579,958,5549276,20591,2017
Gifted,7000000,36964656,5334,13460346,121327,2017
Smurfs: The Lost Village,60000000,197578586,1463,3941690,13280,2017
The Boss Baby,125000000,510878762,3855,19576981,60283,2017
Ghost in the Shell,110000000,167910690,28107,32142294,172619,2017
The Zookeepers Wife,20000000,26308749,738,1558074,10295,2017
Power Rangers,120000000,142531552,28220,44737885,183761,2017
Life,58000000,100929666,2117,7567018,12404,2017
Life,75000000,73521587,2117,7567018,12404,2017
CHiPS,25000000,23190292,649,6129332,8405,2017
The Belko Experiment,5000000,11792942,1625,2515283,13713,2017
Beauty and the Beast,160000000,1259199706,19251,34130894,252973,2017
Beauty and the Beast,20000000,438707031,19251,34130894,252973,2017
T2: Trainspotting,18000000,42091262,5497,10762354,61882,2017
Kong: Skull Island,185000000,561072059,7489,15048044,65805,2017
Departure,1100000,27561,13,49112,132,2017
Logan,127000000,615461394,32459,30081253,261819,2017
Before I Fall,5000000,18945682,4128,9669759,71291,2017
Table 19,5000000,4620399,516,1612146,8445,2017
Get Out,5000000,255367951,11063,16021938,71732,2017
Rock Dog,60000000,24148488,1316,1939955,6835,2017
Collide,29200000,5466698,876,3430818,8242,2017
Bitter Harvest,21000000,606162,1418,1000648,6295,2017
The Girl with all the Gifts,5250000,4801837,3675,14007575,106159,2017
Fist Fight,25000000,40286416,705,4216362,11355,2017
The Great Wall,150000000,334486852,6811,10123984,27650,2017
In Dubious Battle,15000000,214182,610,1090588,5920,2017
The Lego Batman Movie,80000000,310660018,2970,4539010,37395,2017
Fifty Shades Darker,55000000,381398492,4970,23826466,86059,2017
John Wick: Chapter Two,40000000,171317271,6885,18097504,80156,2017
I Am Not Your Negro,1000000,9617402,935,1333483,9151,2017
The Comedian,15000000,1658706,584,1015616,5394,2017
The Space Between Us,30000000,16481405,3038,5472353,30673,2017
Growing up Smith,2000000,35312,136,387692,2061,2017
Rings,25000000,82917283,565,3042370,7299,2017
Two Lovers and a Bear,6840000,22273,424,751795,3771,2017
A Dogs Purpose,25000000,203671625,0,19510663,146084,2017
Emily,27000,3547,212,606342,5325,2017
Resident Evil: The Final Chapter,40000000,314101190,4057,11484620,43776,2017
The Resurrection of Gavin Stone,2000000,2303792,169,383999,1707,2017
The Founder,15000000,24403192,2489,4732885,17586,2017
xXx: Return of Xander Cage,85000000,345033359,8250,15451484,73616,2017
Split,5000000,278964806,15442,26806693,111273,2017
The Bye Bye Man,7400000,31187727,3562,4997688,18916,2017
Monster Trucks,125000000,61642798,2754,4410280,21090,2017
A Monster Calls,43000000,46414530,5855,8440595,48739,2017
